track,artist
Pipoco,Dj Chris No Beat
Hold Me Closer,Elton John
Hold Me Closer,Britney Spears
Forget Me,Lewis Capaldi
After LIKE,IVE
Bound 2,Kanye West
B.O.T.A. (Baddest Of Them All) - Edit,Interplanetary Criminal
B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose
Talk that Talk,TWICE
BILLIE EILISH.,Armani White
Ferxxo 100,Feid
KU LO SA - A COLORS SHOW,Oxlade
Prohibidox,Feid
Static,Steve Lacy
The Scientist,Coldplay
Sparks,Coldplay
Talk,YEAT
XQ Te Pones Asï¿,Yandel
XQ Te Pones Asï¿,Feid
Selfish,PnB Rock
Sin Seï¿½ï,Ovy On The Drums
Sin Seï¿½ï,Quevedo
Lady Mi Amor,Feid
Poland,Lil Yachty
THE LONELIEST,Mï¿½ï¿½ne
Bye Bye,Marshmello
Bye Bye,Juice WRLD
BABY OTAKU,Fran C
BABY OTAKU,Polima WestCoast
BABY OTAKU,Nickoog Clk
BABY OTAKU,Pablito Pesadilla
Nxde,(G)I-DLE
Miss You,Southstar
we fell in love in october,girl in red
2 Be Loved (Am I Ready),Lizzo
Celestial,Ed Sheeran
Typa Girl,BLACKPINK
I Really Want to Stay at Your House,Rosa Walton
I Really Want to Stay at Your House,Hallie Coggins
California Breeze,Lil Baby
Bamba (feat. Aitch & BIA),Luciano
Bamba (feat. Aitch & BIA),Aitch
Bamba (feat. Aitch & BIA),Bï¿½
Casei Com a Putaria,MC Ryan SP
Casei Com a Putaria,Love Funk
Casei Com a Putaria,Mc Paiva ZS
Major Distribution,Drake
Major Distribution,21 Savage
Pussy & Millions (feat. Travis Scott),Drake
Pussy & Millions (feat. Travis Scott),Travis Scott
Pussy & Millions (feat. Travis Scott),21 Savage
Vigilante Shit,Taylor Swift
Question...?,Taylor Swift
On BS,Drake
On BS,21 Savage
Mastermind,Taylor Swift
Circo Loco,Drake
Circo Loco,21 Savage
Labyrinth,Taylor Swift
Spin Bout U,Drake
Spin Bout U,21 Savage
Sweet Nothing,Taylor Swift
"Would've, Could've, Should've",Taylor Swift
Con La Brisa,Ludwig Goransson
Con La Brisa,Foudeqush
Privileged Rappers,Drake
Privileged Rappers,21 Savage
The Astronaut,Jin
BackOutsideBoyz,Drake
Broke Boys,Drake
Broke Boys,21 Savage
The Great War,Taylor Swift
My Mind & Me,Selena Gomez
Bigger Than The Whole Sky,Taylor Swift
A Veces (feat. Feid),Feid
A Veces (feat. Feid),Paulo Londra
En La De Ella,Feid
En La De Ella,Sech
En La De Ella,Jhayco
Alone,Burna Boy
